year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2002,1.3341,"$60,000,000 ","$80,046,000 ","$32,122,249 ","$42,854,292 ",Warner Bros.,USA,Harold Ramis,Comedy,,Analyze That,R,2012/6/2,96,5.9,Robert De Niro,73442,Kenneth Lonergan
2002,1.3341,"$10,000,000 ","$13,341,000 ","$32,983,713 ","$44,003,572 ",Avery Pix,USA,Marcus Raboy,Comedy,,Friday After Next,R,11/22/02,85,5.8,Ice Cube,21274,Ice Cube
2002,1.3341,"$70,000,000 ","$93,387,000 ","$33,105,600 ","$44,166,181 ",Columbia Pictures Corporation,USA,Betty Thomas,Action,,I Spy,PG-13,2011/1/2,97,5.4,Eddie Murphy,43883,Morton S. Fine
2002,1.3341,"$32,000,000 ","$42,691,200 ","$35,746,370 ","$47,689,232 ",Lakeshore Entertainment,USA,Mark Pellington,Drama,,The Mothman Prophecies,PG-13,1/25/02,119,6.5,Richard Gere,67002,Richard Hatem
2002,1.3341,"$26,000,000 ","$34,686,600 ","$36,985,501 ","$49,342,357 ",Paramount Pictures,USA,Jonathan Frakes,Action,,Clockstoppers,PG,3/29/02,94,5.2,Jesse Bradford,11909,Rob Hedden
2002,1.3341,"$12,000,000 ","$16,009,200 ","$37,191,304 ","$49,616,919 ",Fuzzy Bunny Films (I),USA,Tamra Davis,Comedy,,Crossroads,PG-13,2/15/02,93,3.4,Britney Spears,35300,Shonda Rhimes
2002,1.3341,"$17,000,000 ","$22,679,700 ","$37,950,822 ","$50,630,192 ",Miramax,USA,Michael Lehmann,Comedy,,40 Days and 40 Nights,R,2003/1/2,96,5.6,Josh Hartnett,64465,Rob Perez
2002,1.3341,"$85,000,000 ","$113,398,500 ","$38,082,712 ","$50,806,146 ",Material,USA,Tom Dey,Action,,Showtime,PG-13,3/15/02,95,5.5,Robert De Niro,54818,Jorge Saralegui
2002,1.3341,"$140,000,000 ","$186,774,000 ","$38,176,783 ","$50,931,646 ",Walt Disney Feature Animation,USA,Ron Clements,Animation,,Treasure Planet,PG,11/27/02,95,7.1,Joseph Gordon-Levitt,79637,Robert Louis Stevenson
2002,1.3341,"$25,000,000 ","$33,352,500 ","$38,230,435 ","$51,003,223 ",Universal Pictures,USA,Malcolm D. Lee,Action,,Undercover Brother,PG-13,5/31/02,86,5.8,Eddie Griffin,30636,John Ridley
2002,1.3341,"$38,000,000 ","$50,695,800 ","$40,007,742 ","$53,374,329 ",Columbia Pictures Corporation,USA,Michael Apted,Crime,,Enough,PG-13,5/24/02,115,5.7,Jennifer Lopez,32959,Nicholas Kazan
2002,1.3341,"$85,000,000 ","$113,398,500 ","$40,077,257 ","$53,467,069 ",Warner Bros.,USA,Andrew Davis,Action,,Collateral Damage,R,2002/8/2,108,5.5,Arnold Schwarzenegger,64737,Ronald Roose
2002,1.3341,"$25,000,000 ","$33,352,500 ","$40,108,697 ","$53,509,013 ",Paramount Pictures,USA,Cathy Malkasian,Animation,,The Wild Thornberrys Movie,PG,12/20/02,85,5.3,Tim Curry,12741,Arlene Klasky
2002,1.3341,"$16,000,000 ","$21,345,600 ","$40,363,530 ","$53,848,985 ",Revolution Studios,USA,Perry Andelin Blake,Adventure,,The Master of Disguise,PG,2008/2/2,80,3.3,Dana Carvey,19029,Dana Carvey
2002,1.3341,"$30,000,000 ","$40,023,000 ","$40,390,647 ","$53,885,162 ",Universal Pictures,USA,John Stockwell,Drama,,Blue Crush,PG-13,8/16/02,104,5.6,Kate Bosworth,27193,Susan Orlean
2002,1.3341,"$115,000,000 ","$153,421,500 ","$40,914,068 ","$54,583,458 ",Metro-Goldwyn-Mayer (MGM),USA,John Woo,Action,,Windtalkers,R,6/14/02,134,6,Nicolas Cage,58906,John Rice
2002,1.3341,"$18,000,000 ","$24,013,800 ","$41,032,915 ","$54,742,012 ",Paramount Pictures,USA,Jake Kasdan,Comedy,,Orange County,PG-13,2001/11/2,82,6.2,Colin Hanks,42919,Mike White
2002,1.3341,"$11,000,000 ","$14,675,100 ","$41,227,069 ","$55,001,033 ",Warner Bros.,USA,Adam Shankman,Drama,,A Walk to Remember,PG,1/25/02,101,7.4,Mandy Moore,174670,Nicholas Sparks
2002,1.3341,"$42,000,000 ","$56,032,200 ","$41,543,207 ","$55,422,792 ",Twentieth Century Fox Film Corporation,USA,Carl Franklin,Crime,,High Crimes,PG-13,2004/5/2,115,6.3,Jim Caviezel,32605,Joseph Finder
2002,1.3341,"$25,000,000 ","$33,352,500 ","$41,675,994 ","$55,599,944 ",Paramount Pictures,USA,Stephen Daldry,Drama,,The Hours,PG-13,2/14/03,110,7.6,Meryl Streep,108353,Michael Cunningham
2002,1.3341,"$60,000,000 ","$80,046,000 ","$43,061,982 ","$57,448,990 ",Spyglass Entertainment,USA,Rob Bowman,Action,,Reign of Fire,PG-13,2007/12/2,101,6.2,Matthew McConaughey,113304,Gregg Chabot
2002,1.3341,"$60,000,000 ","$80,046,000 ","$43,254,409 ","$57,705,707 ",Paramount Pictures,USA,Stuart Baird,Action,,Star Trek: Nemesis,PG-13,12/13/02,116,6.4,Patrick Stewart,62507,Gene Roddenberry
2002,1.3341,"$13,000,000 ","$17,343,300 ","$46,566,212 ","$62,123,983 ",Fox 2000 Pictures,USA,Joel Schumacher,Crime,,Phone Booth,R,2004/4/3,81,7.1,Colin Farrell,221926,Larry Cohen
2002,1.3341,"$15,000,000 ","$20,011,500 ","$47,811,275 ","$63,785,022 ",Paramount Pictures,USA,Shawn Levy,Adventure,,Big Fat Liar,PG,2002/8/2,88,5.4,Frankie Muniz,30579,Dan Schneider
2002,1.3341,"$20,000,000 ","$26,682,000 ","$48,430,258 ","$64,610,807 ",Disney Television Animation,USA,Robin Budd,Animation,,Peter Pan II: Return to Neverland,G,2/15/02,72,5.8,Blayne Weaver,14642,Temple Mathews
2002,1.3341,"$60,000,000 ","$80,046,000 ","$50,547,998 ","$67,436,084 ",Blue Train Productions,USA,Kevin Donovan,Action,,The Tuxedo,PG-13,9/27/02,98,5.3,Jackie Chan,67127,Phil Hay
2002,1.3341,"$30,000,000 ","$40,023,000 ","$51,432,423 ","$68,615,996 ",Twentieth Century Fox Film Corporation,USA,John Schultz,Comedy,,Like Mike,PG,2007/3/2,99,5.1,Shad Moss,16153,Michael Elliot
